Sample Name	Characteristics[Organism part]	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Trait Definition File]	Derived Data File
Sample28	whole plant	PO	3	Assay28	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample29	whole plant	PO	3	Assay29	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample30	whole plant	PO	3	Assay30	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample31	whole plant	PO	3	Assay31	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample32	whole plant	PO	3	Assay32	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample33	whole plant	PO	3	Assay33	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample34	whole plant	PO	3	Assay34	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample35	whole plant	PO	3	Assay35	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample36	whole plant	PO	3	Assay36	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample37	whole plant	PO	3	Assay37	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample38	whole plant	PO	3	Assay38	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample39	whole plant	PO	3	Assay39	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample40	whole plant	PO	3	Assay40	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample41	whole plant	PO	3	Assay41	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample42	whole plant	PO	3	Assay42	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample43	whole plant	PO	3	Assay43	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample44	whole plant	PO	3	Assay44	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample45	whole plant	PO	3	Assay45	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample46	whole plant	PO	3	Assay46	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample47	whole plant	PO	3	Assay47	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample48	whole plant	PO	3	Assay48	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample49	whole plant	PO	3	Assay49	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample50	whole plant	PO	3	Assay50	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample51	whole plant	PO	3	Assay51	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample52	whole plant	PO	3	Assay52	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample53	whole plant	PO	3	Assay53	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample54	whole plant	PO	3	Assay54	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample55	whole plant	PO	3	Assay55	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample56	whole plant	PO	3	Assay56	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample57	whole plant	PO	3	Assay57	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample58	whole plant	PO	3	Assay58	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample59	whole plant	PO	3	Assay59	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample60	whole plant	PO	3	Assay60	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample61	whole plant	PO	3	Assay61	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample62	whole plant	PO	3	Assay62	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample63	whole plant	PO	3	Assay63	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample64	whole plant	PO	3	Assay64	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample65	whole plant	PO	3	Assay65	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample66	whole plant	PO	3	Assay66	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample67	whole plant	PO	3	Assay67	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample68	whole plant	PO	3	Assay68	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample69	whole plant	PO	3	Assay69	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample70	whole plant	PO	3	Assay70	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample71	whole plant	PO	3	Assay71	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample72	whole plant	PO	3	Assay72	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample73	whole plant	PO	3	Assay73	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample74	whole plant	PO	3	Assay74	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample75	whole plant	PO	3	Assay75	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample76	whole plant	PO	3	Assay76	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample77	whole plant	PO	3	Assay77	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample78	whole plant	PO	3	Assay78	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample79	whole plant	PO	3	Assay79	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample80	whole plant	PO	3	Assay80	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample81	whole plant	PO	3	Assay81	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample82	whole plant	PO	3	Assay82	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample83	whole plant	PO	3	Assay83	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample84	whole plant	PO	3	Assay84	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample85	whole plant	PO	3	Assay85	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample86	whole plant	PO	3	Assay86	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample87	whole plant	PO	3	Assay87	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample88	whole plant	PO	3	Assay88	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample89	whole plant	PO	3	Assay89	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample90	whole plant	PO	3	Assay90	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample91	whole plant	PO	3	Assay91	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample92	whole plant	PO	3	Assay92	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample93	whole plant	PO	3	Assay93	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample94	whole plant	PO	3	Assay94	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample95	whole plant	PO	3	Assay95	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample96	whole plant	PO	3	Assay96	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample97	whole plant	PO	3	Assay97	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample98	whole plant	PO	3	Assay98	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample99	whole plant	PO	3	Assay99	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample100	whole plant	PO	3	Assay100	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample101	whole plant	PO	3	Assay101	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample102	whole plant	PO	3	Assay102	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample103	whole plant	PO	3	Assay103	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample104	whole plant	PO	3	Assay104	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample105	whole plant	PO	3	Assay105	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample106	whole plant	PO	3	Assay106	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample107	whole plant	PO	3	Assay107	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample108	whole plant	PO	3	Assay108	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample109	whole plant	PO	3	Assay109	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample110	whole plant	PO	3	Assay110	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample111	whole plant	PO	3	Assay111	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample112	whole plant	PO	3	Assay112	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample113	whole plant	PO	3	Assay113	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample114	whole plant	PO	3	Assay114	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample115	whole plant	PO	3	Assay115	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample116	whole plant	PO	3	Assay116	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample117	whole plant	PO	3	Assay117	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample118	whole plant	PO	3	Assay118	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample119	whole plant	PO	3	Assay119	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample120	whole plant	PO	3	Assay120	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample121	whole plant	PO	3	Assay121	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample122	whole plant	PO	3	Assay122	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample123	whole plant	PO	3	Assay123	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample124	whole plant	PO	3	Assay124	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample125	whole plant	PO	3	Assay125	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample126	whole plant	PO	3	Assay126	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample127	whole plant	PO	3	Assay127	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample128	whole plant	PO	3	Assay128	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample129	whole plant	PO	3	Assay129	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample130	whole plant	PO	3	Assay130	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample131	whole plant	PO	3	Assay131	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample132	whole plant	PO	3	Assay132	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample133	whole plant	PO	3	Assay133	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample134	whole plant	PO	3	Assay134	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample135	whole plant	PO	3	Assay135	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample136	whole plant	PO	3	Assay136	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample137	whole plant	PO	3	Assay137	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample138	whole plant	PO	3	Assay138	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample139	whole plant	PO	3	Assay139	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample140	whole plant	PO	3	Assay140	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample141	whole plant	PO	3	Assay141	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample142	whole plant	PO	3	Assay142	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample143	whole plant	PO	3	Assay143	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample144	whole plant	PO	3	Assay144	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample145	whole plant	PO	3	Assay145	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample146	whole plant	PO	3	Assay146	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample147	whole plant	PO	3	Assay147	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample148	whole plant	PO	3	Assay148	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample149	whole plant	PO	3	Assay149	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample150	whole plant	PO	3	Assay150	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample151	whole plant	PO	3	Assay151	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample152	whole plant	PO	3	Assay152	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample153	whole plant	PO	3	Assay153	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample154	whole plant	PO	3	Assay154	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample155	whole plant	PO	3	Assay155	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample156	whole plant	PO	3	Assay156	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample157	whole plant	PO	3	Assay157	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample158	whole plant	PO	3	Assay158	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample159	whole plant	PO	3	Assay159	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample160	whole plant	PO	3	Assay160	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample161	whole plant	PO	3	Assay161	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample162	whole plant	PO	3	Assay162	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample163	whole plant	PO	3	Assay163	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample164	whole plant	PO	3	Assay164	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample165	whole plant	PO	3	Assay165	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample166	whole plant	PO	3	Assay166	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample167	whole plant	PO	3	Assay167	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample168	whole plant	PO	3	Assay168	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample169	whole plant	PO	3	Assay169	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample170	whole plant	PO	3	Assay170	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample171	whole plant	PO	3	Assay171	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample172	whole plant	PO	3	Assay172	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample173	whole plant	PO	3	Assay173	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample174	whole plant	PO	3	Assay174	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample175	whole plant	PO	3	Assay175	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample176	whole plant	PO	3	Assay176	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample177	whole plant	PO	3	Assay177	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample178	whole plant	PO	3	Assay178	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample179	whole plant	PO	3	Assay179	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample180	whole plant	PO	3	Assay180	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample181	whole plant	PO	3	Assay181	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample182	whole plant	PO	3	Assay182	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample183	whole plant	PO	3	Assay183	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample184	whole plant	PO	3	Assay184	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample185	whole plant	PO	3	Assay185	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample186	whole plant	PO	3	Assay186	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample187	whole plant	PO	3	Assay187	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample188	whole plant	PO	3	Assay188	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample189	whole plant	PO	3	Assay189	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample190	whole plant	PO	3	Assay190	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample191	whole plant	PO	3	Assay191	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample192	whole plant	PO	3	Assay192	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample193	whole plant	PO	3	Assay193	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample194	whole plant	PO	3	Assay194	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample195	whole plant	PO	3	Assay195	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample196	whole plant	PO	3	Assay196	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample197	whole plant	PO	3	Assay197	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample198	whole plant	PO	3	Assay198	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample199	whole plant	PO	3	Assay199	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample200	whole plant	PO	3	Assay200	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample201	whole plant	PO	3	Assay201	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample202	whole plant	PO	3	Assay202	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample203	whole plant	PO	3	Assay203	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample204	whole plant	PO	3	Assay204	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample205	whole plant	PO	3	Assay205	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample206	whole plant	PO	3	Assay206	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample207	whole plant	PO	3	Assay207	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample208	whole plant	PO	3	Assay208	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample209	whole plant	PO	3	Assay209	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample210	whole plant	PO	3	Assay210	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample211	whole plant	PO	3	Assay211	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample212	whole plant	PO	3	Assay212	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample213	whole plant	PO	3	Assay213	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample214	whole plant	PO	3	Assay214	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample215	whole plant	PO	3	Assay215	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample216	whole plant	PO	3	Assay216	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample217	whole plant	PO	3	Assay217	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample218	whole plant	PO	3	Assay218	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample219	whole plant	PO	3	Assay219	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample220	whole plant	PO	3	Assay220	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample221	whole plant	PO	3	Assay221	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample222	whole plant	PO	3	Assay222	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample223	whole plant	PO	3	Assay223	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample224	whole plant	PO	3	Assay224	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample225	whole plant	PO	3	Assay225	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample226	whole plant	PO	3	Assay226	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample227	whole plant	PO	3	Assay227	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample228	whole plant	PO	3	Assay228	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample229	whole plant	PO	3	Assay229	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample230	whole plant	PO	3	Assay230	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample231	whole plant	PO	3	Assay231	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample232	whole plant	PO	3	Assay232	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample233	whole plant	PO	3	Assay233	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample234	whole plant	PO	3	Assay234	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample235	whole plant	PO	3	Assay235	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample236	whole plant	PO	3	Assay236	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample237	whole plant	PO	3	Assay237	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample238	whole plant	PO	3	Assay238	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample239	whole plant	PO	3	Assay239	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample240	whole plant	PO	3	Assay240	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample241	whole plant	PO	3	Assay241	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample242	whole plant	PO	3	Assay242	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
